Frequency,Raw Reading,Atten 10dB Factor,Cable 276 PLCE - 3m Factor,LISN 303 - L1 Factor,Level,CISPR 11 Class A - Quasi-Peak Limit,CISPR 11 Class A - Average Limit,CISPR 11 Class A - Quasi-Peak Margin,CISPR 11 Class A - Average Margin,Comments
20.196,35.8,10.0,.1,.1,=SUM(B144:E144),73.0,60.0,=G144-F144,=H144-F144,
20.259,39.0,10.0,.1,.1,=SUM(B145:E145),73.0,60.0,=G145-F145,=H145-F145,
20.319,37.7,10.0,.1,.1,=SUM(B146:E146),73.0,60.0,=G146-F146,=H146-F146,
20.343,32.4,10.0,.1,.1,=SUM(B147:E147),73.0,60.0,=G147-F147,=H147-F147,
20.382,37.2,10.0,.1,.1,=SUM(B148:E148),73.0,60.0,=G148-F148,=H148-F148,
20.442,30.3,10.0,.1,.1,=SUM(B149:E149),73.0,60.0,=G149-F149,=H149-F149,
20.505,31.5,10.0,.1,.1,=SUM(B150:E150),73.0,60.0,=G150-F150,=H150-F150,
20.559,32.7,10.0,.1,.1,=SUM(B151:E151),73.0,60.0,=G151-F151,=H151-F151,
20.628,30.2,10.0,.1,.1,=SUM(B152:E152),73.0,60.0,=G152-F152,=H152-F152,
20.688,34.5,10.0,.1,.1,=SUM(B153:E153),73.0,60.0,=G153-F153,=H153-F153,
20.715,30.8,10.0,.1,.1,=SUM(B154:E154),73.0,60.0,=G154-F154,=H154-F154,
20.808,38.4,10.0,.1,.1,=SUM(B155:E155),73.0,60.0,=G155-F155,=H155-F155,
20.871,36.2,10.0,.1,.1,=SUM(B156:E156),73.0,60.0,=G156-F156,=H156-F156,
20.934,34.5,10.0,.1,.1,=SUM(B157:E157),73.0,60.0,=G157-F157,=H157-F157,
20.994,36.1,10.0,.1,.1,=SUM(B158:E158),73.0,60.0,=G158-F158,=H158-F158,
21.054,37.6,10.0,.1,.1,=SUM(B159:E159),73.0,60.0,=G159-F159,=H159-F159,
21.117,36.9,10.0,.1,.1,=SUM(B160:E160),73.0,60.0,=G160-F160,=H160-F160,
21.177,36.2,10.0,.1,.1,=SUM(B161:E161),73.0,60.0,=G161-F161,=H161-F161,
21.300,30.1,10.0,.1,.1,=SUM(B162:E162),73.0,60.0,=G162-F162,=H162-F162,
21.389,32.9,10.0,.1,.1,=SUM(B163:E163),73.0,60.0,=G163-F163,=H163-F163,
21.486,32.3,10.0,.1,.1,=SUM(B164:E164),73.0,60.0,=G164-F164,=H164-F164,
21.516,33.7,10.0,.1,.1,=SUM(B165:E165),73.0,60.0,=G165-F165,=H165-F165,
21.605,32.8,10.0,.1,.1,=SUM(B166:E166),73.0,60.0,=G166-F166,=H166-F166,
21.669,41.6,10.0,.1,.1,=SUM(B167:E167),73.0,60.0,=G167-F167,=H167-F167,
21.722,35.2,10.0,.1,.1,=SUM(B168:E168),73.0,60.0,=G168-F168,=H168-F168,
21.785,25.2,10.0,.1,.1,=SUM(B169:E169),73.0,60.0,=G169-F169,=H169-F169,
21.845,31.1,10.0,.1,.1,=SUM(B170:E170),73.0,60.0,=G170-F170,=H170-F170,
21.908,39.5,10.0,.1,.1,=SUM(B171:E171),73.0,60.0,=G171-F171,=H171-F171,
21.961,27.8,10.0,.1,.1,=SUM(B172:E172),73.0,60.0,=G172-F172,=H172-F172,
22.031,36.2,10.0,.1,.1,=SUM(B173:E173),73.0,60.0,=G173-F173,=H173-F173,
22.061,29.4,10.0,.1,.1,=SUM(B174:E174),73.0,60.0,=G174-F174,=H174-F174,
