Frequency,Raw Reading,Atten 10dB Factor,Cable 276 PLCE - 3m Factor,LISN 303 - L2 Factor,Level,CISPR 11 Class A - Quasi-Peak Limit,CISPR 11 Class A - Average Limit,CISPR 11 Class A - Quasi-Peak Margin,CISPR 11 Class A - Average Margin,Comments
24.570,28.3,10.0,.1,.2,=SUM(B191:E191),73.0,60.0,=G191-F191,=H191-F191,
24.596,34.2,10.0,.1,.2,=SUM(B192:E192),73.0,60.0,=G192-F192,=H192-F192,
24.659,34.1,10.0,.1,.2,=SUM(B193:E193),73.0,60.0,=G193-F193,=H193-F193,
24.719,38.2,10.0,.1,.2,=SUM(B194:E194),73.0,60.0,=G194-F194,=H194-F194,
24.782,31.9,10.0,.1,.2,=SUM(B195:E195),73.0,60.0,=G195-F195,=H195-F195,
24.842,32.3,10.0,.1,.2,=SUM(B196:E196),73.0,60.0,=G196-F196,=H196-F196,
24.876,34.2,10.0,.1,.2,=SUM(B197:E197),73.0,60.0,=G197-F197,=H197-F197,
24.905,39.4,10.0,.1,.2,=SUM(B198:E198),73.0,60.0,=G198-F198,=H198-F198,
24.965,39.0,10.0,.1,.2,=SUM(B199:E199),73.0,60.0,=G199-F199,=H199-F199,
25.025,33.5,10.0,.1,.2,=SUM(B200:E200),73.0,60.0,=G200-F200,=H200-F200,
25.052,27.0,10.0,.1,.2,=SUM(B201:E201),73.0,60.0,=G201-F201,=H201-F201,
25.115,28.5,10.0,.1,.2,=SUM(B202:E202),73.0,60.0,=G202-F202,=H202-F202,
25.171,31.5,10.0,.1,.2,=SUM(B203:E203),73.0,60.0,=G203-F203,=H203-F203,
25.205,35.7,10.0,.1,.2,=SUM(B204:E204),73.0,60.0,=G204-F204,=H204-F204,
25.268,31.8,10.0,.1,.2,=SUM(B205:E205),73.0,60.0,=G205-F205,=H205-F205,
25.327,31.4,10.0,.1,.2,=SUM(B206:E206),73.0,60.0,=G206-F206,=H206-F206,
25.371,25.7,10.0,.1,.2,=SUM(B207:E207),73.0,60.0,=G207-F207,=H207-F207,
25.421,30.5,10.0,.1,.2,=SUM(B208:E208),73.0,60.0,=G208-F208,=H208-F208,
25.450,28.7,10.0,.1,.2,=SUM(B209:E209),73.0,60.0,=G209-F209,=H209-F209,
25.477,28.6,10.0,.1,.2,=SUM(B210:E210),73.0,60.0,=G210-F210,=H210-F210,
25.514,28.9,10.0,.1,.2,=SUM(B211:E211),73.0,60.0,=G211-F211,=H211-F211,
25.573,34.5,10.0,.1,.2,=SUM(B212:E212),73.0,60.0,=G212-F212,=H212-F212,
25.603,28.2,10.0,.1,.2,=SUM(B213:E213),73.0,60.0,=G213-F213,=H213-F213,
25.633,28.5,10.0,.1,.2,=SUM(B214:E214),73.0,60.0,=G214-F214,=H214-F214,
25.663,32.6,10.0,.1,.2,=SUM(B215:E215),73.0,60.0,=G215-F215,=H215-F215,
25.696,40.8,10.0,.1,.2,=SUM(B216:E216),73.0,60.0,=G216-F216,=H216-F216,
25.726,30.3,10.0,.1,.2,=SUM(B217:E217),73.0,60.0,=G217-F217,=H217-F217,
25.789,29.3,10.0,.1,.2,=SUM(B218:E218),73.0,60.0,=G218-F218,=H218-F218,
25.816,31.2,10.0,.1,.2,=SUM(B219:E219),73.0,60.0,=G219-F219,=H219-F219,
25.849,28.2,10.0,.1,.2,=SUM(B220:E220),73.0,60.0,=G220-F220,=H220-F220,
25.879,41.4,10.0,.1,.2,=SUM(B221:E221),73.0,60.0,=G221-F221,=H221-F221,
25.939,27.7,10.0,.1,.2,=SUM(B222:E222),73.0,60.0,=G222-F222,=H222-F222,
26.002,40.2,10.0,.1,.2,=SUM(B223:E223),73.0,60.0,=G223-F223,=H223-F223,
26.032,30.7,10.0,.1,.2,=SUM(B224:E224),73.0,60.0,=G224-F224,=H224-F224,
26.062,32.7,10.0,.1,.2,=SUM(B225:E225),73.0,60.0,=G225-F225,=H225-F225,
26.155,32.0,10.0,.1,.2,=SUM(B226:E226),73.0,60.0,=G226-F226,=H226-F226,
26.185,36.1,10.0,.1,.2,=SUM(B227:E227),73.0,60.0,=G227-F227,=H227-F227,
26.278,29.0,10.0,.1,.2,=SUM(B228:E228),73.0,60.0,=G228-F228,=H228-F228,
26.308,32.6,10.0,.1,.2,=SUM(B229:E229),73.0,60.0,=G229-F229,=H229-F229,
26.338,30.7,10.0,.1,.2,=SUM(B230:E230),73.0,60.0,=G230-F230,=H230-F230,
26.401,37.2,10.0,.1,.2,=SUM(B231:E231),73.0,60.0,=G231-F231,=H231-F231,
26.461,28.4,10.0,.1,.2,=SUM(B232:E232),73.0,60.0,=G232-F232,=H232-F232,
26.491,43.7,10.0,.1,.2,=SUM(B233:E233),73.0,60.0,=G233-F233,=H233-F233,
26.554,42.8,10.0,.1,.2,=SUM(B234:E234),73.0,60.0,=G234-F234,=H234-F234,
26.614,44.3,10.0,.1,.2,=SUM(B235:E235),73.0,60.0,=G235-F235,=H235-F235,
26.677,36.4,10.0,.1,.2,=SUM(B236:E236),73.0,60.0,=G236-F236,=H236-F236,
26.700,31.5,10.0,.1,.2,=SUM(B237:E237),73.0,60.0,=G237-F237,=H237-F237,
26.730,26.0,10.0,.1,.2,=SUM(B238:E238),73.0,60.0,=G238-F238,=H238-F238,
26.793,31.9,10.0,.1,.2,=SUM(B239:E239),73.0,60.0,=G239-F239,=H239-F239,
26.853,37.9,10.0,.1,.2,=SUM(B240:E240),73.0,60.0,=G240-F240,=H240-F240,
26.913,32.4,10.0,.1,.2,=SUM(B241:E241),73.0,60.0,=G241-F241,=H241-F241,
26.946,31.0,10.0,.1,.2,=SUM(B242:E242),73.0,60.0,=G242-F242,=H242-F242,
26.976,24.7,10.0,.1,.2,=SUM(B243:E243),73.0,60.0,=G243-F243,=H243-F243,
27.006,25.4,10.0,.1,.2,=SUM(B244:E244),73.0,60.0,=G244-F244,=H244-F244,
27.036,31.0,10.0,.1,.2,=SUM(B245:E245),73.0,60.0,=G245-F245,=H245-F245,
