4:36:18 PM 01-09-2019
ORBIT Version: 0.1.98
Username:     Med X Stream
Computer:     DRSHD-0710-041C
Filename:     D:\Projects\Virtek Vision\7169005365 LPS-7\01_PLCE_120Vac60Hz_L1
Spectrum Analyzer:          RSESL6          Datapoints:                500 
<BEGIN LIMIT FILE: C:\Program Files\Orbit\Limits\FCC Verification\10 KHz FCC_CE_ClassA_LISN.txt>
2
A m p l i t u d e  ( d B u V )
10
30
10
23
1
factor file # name
FCC Part 15 Class A - Quasi-Peak
220
150
0,0,255
Blank1
4
0.15
79
0.5
79
0.5
73
30
73
FCC Part 15 Class A - Average
220
220
0,0,127
Blank1
4
0.15
66
0.5
66
0.5
60
30
60
AUTOFACTOR Atten 10dB
AUTOFACTOR Cable 276 PLCE - 3m
AUTOFACTOR LISN 303 - L1
<END LIMIT FILE>
Frequency,Raw Reading,Atten 10dB Factor,Cable 276 PLCE - 3m Factor,LISN 303 - L1 Factor,Level
0.532181, 17.8515 , 10 , 0.1 , 0.02 ,27.9715
0.535504, 15.9867 , 10 , 0.1 , 0.02 ,26.1067
0.538828, 16.646 , 10 , 0.1 , 0.02 ,26.766
0.542151, 17.6902 , 10 , 0.1 , 0.02 ,27.8102
0.545474, 17.7484 , 10 , 0.1 , 0.02 ,27.8684
0.548798, 16.9086 , 10 , 0.1 , 0.02 ,27.0286
0.552121, 17.4853 , 10 , 0.1 , 0.02 ,27.6053
0.555444, 18.2872 , 10 , 0.1 , 0.02 ,28.4072
0.558768, 18.2587 , 10 , 0.1 , 0.02 ,28.3787
0.562091, 17.6388 , 10 , 0.1 , 0.02 ,27.7588
0.565414, 17.7487 , 10 , 0.1 , 0.02 ,27.8687
0.568737, 16.7909 , 10 , 0.1 , 0.02 ,26.9109
0.572061, 17.3955 , 10 , 0.1 , 0.02 ,27.5155
0.575384, 17.0723 , 10 , 0.1 , 0.02 ,27.1923
0.578707, 16.8933 , 10 , 0.1 , 0.02 ,27.0133
0.582031, 16.6178 , 10 , 0.1 , 0.02 ,26.7378
0.585354, 16.7669 , 10 , 0.1 , 0.02 ,26.8869
0.588677, 16.2752 , 10 , 0.1 , 0.02 ,26.3952
0.592001, 16.9597 , 10 , 0.1 , 0.02 ,27.0797
0.595324, 17.3987 , 10 , 0.1 , 0.02 ,27.5187
0.598647, 17.4201 , 10 , 0.1 , 0.02 ,27.5401
0.601971, 16.7312 , 10 , 0.1 , 0.02 ,26.8512
0.605294, 17.1543 , 10 , 0.1 , 0.02 ,27.2743
0.608617, 16.6186 , 10 , 0.1 , 0.02 ,26.7386
0.611941, 16.3144 , 10 , 0.1 , 0.02 ,26.4344
0.615264, 16.0502 , 10 , 0.1 , 0.02 ,26.1702
0.618587, 16.3455 , 10 , 0.1 , 0.02 ,26.4655
0.62191, 16.7124 , 10 , 0.1 , 0.02 ,26.8324
0.625234, 16.9432 , 10 , 0.1 , 0.02 ,27.0632
0.628557, 16.1321 , 10 , 0.1 , 0.02 ,26.2521
0.63188, 16.9711 , 10 , 0.1 , 0.02 ,27.0911
0.635204, 17.2432 , 10 , 0.1 , 0.02 ,27.3632
0.638527, 16.7066 , 10 , 0.1 , 0.02 ,26.8266
0.64185, 16.6926 , 10 , 0.1 , 0.02 ,26.8126
0.645174, 16.6148 , 10 , 0.1 , 0.02 ,26.7348
0.648497, 16.8925 , 10 , 0.1 , 0.02 ,27.0125
0.65182, 16.7094 , 10 , 0.1 , 0.02 ,26.8294
0.655144, 17.7925 , 10 , 0.1 , 0.02 ,27.9125
0.658467, 17.7744 , 10 , 0.1 , 0.02 ,27.8944
0.66179, 17.3431 , 10 , 0.1 , 0.02 ,27.4631
0.665114, 16.4653 , 10 , 0.1 , 0.02 ,26.5853
0.668437, 16.731 , 10 , 0.1 , 0.02 ,26.851
0.67176, 16.4579 , 10 , 0.1 , 0.02 ,26.5779
0.675084, 16.5552 , 10 , 0.1 , 0.02 ,26.6752
0.678407, 16.8718 , 10 , 0.1 , 0.02 ,26.9918
0.68173, 16.505 , 10 , 0.1 , 0.02 ,26.625
0.685053, 17.1385 , 10 , 0.1 , 0.02 ,27.2585
0.688377, 16.556 , 10 , 0.1 , 0.02 ,26.676
0.6917, 17.391 , 10 , 0.1 , 0.02 ,27.511
0.695023, 18.2938 , 10 , 0.1 , 0.02 ,28.4138
0.698347, 17.3282 , 10 , 0.1 , 0.02 ,27.4482
0.70167, 17.4267 , 10 , 0.1 , 0.02 ,27.5467
0.704993, 17.2845 , 10 , 0.1 , 0.02 ,27.4045
0.708317, 17.1467 , 10 , 0.1 , 0.02 ,27.2667
0.71164, 18.0444 , 10 , 0.1 , 0.02 ,28.1644
0.714963, 18.0224 , 10 , 0.1 , 0.02 ,28.1424
0.718287, 17.8771 , 10 , 0.1 , 0.02 ,27.9971
0.72161, 18.2836 , 10 , 0.1 , 0.02 ,28.4036
0.724933, 18.2275 , 10 , 0.1 , 0.02 ,28.3475
0.728257, 15.6704 , 10 , 0.1 , 0.02 ,25.7904
0.73158, 16.6678 , 10 , 0.1 , 0.02 ,26.7878
0.734903, 17.2348 , 10 , 0.1 , 0.02 ,27.3548
0.738226, 17.22 , 10 , 0.1 , 0.02 ,27.34
0.74155, 16.7206 , 10 , 0.1 , 0.02 ,26.8406
0.744873, 16.8984 , 10 , 0.1 , 0.02 ,27.0184
0.748196, 16.7947 , 10 , 0.1 , 0.02 ,26.9147
0.75152, 16.5045 , 10 , 0.1 , 0.02 ,26.6245
0.754843, 17.3204 , 10 , 0.1 , 0.02 ,27.4404
0.758166, 16.7097 , 10 , 0.1 , 0.02 ,26.8297
