Frequency,Raw Reading,Atten 10dB Factor,Cable 276 PLCE - 3m Factor,LISN 303 - L2 Factor,Level,FCC Part 15 Class A - Quasi-Peak Limit,FCC Part 15 Class A - Average Limit,FCC Part 15 Class A - Quasi-Peak Margin,FCC Part 15 Class A - Average Margin,Comments
26.584,30.2,10.0,.1,.2,=SUM(B270:E270),73.0,60.0,=G270-F270,=H270-F270,
26.614,44.7,10.0,.1,.2,=SUM(B271:E271),73.0,60.0,=G271-F271,=H271-F271,
26.677,37.5,10.0,.1,.2,=SUM(B272:E272),73.0,60.0,=G272-F272,=H272-F272,
26.697,32.5,10.0,.1,.2,=SUM(B273:E273),73.0,60.0,=G273-F273,=H273-F273,
26.730,26.1,10.0,.1,.2,=SUM(B274:E274),73.0,60.0,=G274-F274,=H274-F274,
26.793,31.9,10.0,.1,.2,=SUM(B275:E275),73.0,60.0,=G275-F275,=H275-F275,
26.853,38.6,10.0,.1,.2,=SUM(B276:E276),73.0,60.0,=G276-F276,=H276-F276,
26.913,32.6,10.0,.1,.2,=SUM(B277:E277),73.0,60.0,=G277-F277,=H277-F277,
26.946,31.2,10.0,.1,.2,=SUM(B278:E278),73.0,60.0,=G278-F278,=H278-F278,
26.976,25.3,10.0,.1,.2,=SUM(B279:E279),73.0,60.0,=G279-F279,=H279-F279,
27.002,25.4,10.0,.1,.2,=SUM(B280:E280),73.0,60.0,=G280-F280,=H280-F280,
27.036,31.4,10.0,.1,.2,=SUM(B281:E281),73.0,60.0,=G281-F281,=H281-F281,
27.129,34.7,10.0,.1,.2,=SUM(B282:E282),73.0,60.0,=G282-F282,=H282-F282,
27.159,44.0,10.0,.1,.2,=SUM(B283:E283),73.0,60.0,=G283-F283,=H283-F283,
27.222,38.2,10.0,.1,.2,=SUM(B284:E284),73.0,60.0,=G284-F284,=H284-F284,
27.252,27.4,10.0,.1,.2,=SUM(B285:E285),73.0,60.0,=G285-F285,=H285-F285,
27.345,41.7,10.0,.1,.2,=SUM(B286:E286),73.0,60.0,=G286-F286,=H286-F286,
27.375,30.2,10.0,.1,.2,=SUM(B287:E287),73.0,60.0,=G287-F287,=H287-F287,
27.405,34.8,10.0,.1,.2,=SUM(B288:E288),73.0,60.0,=G288-F288,=H288-F288,
27.434,27.4,10.0,.1,.2,=SUM(B289:E289),73.0,60.0,=G289-F289,=H289-F289,
27.621,32.6,10.0,.1,.2,=SUM(B290:E290),73.0,60.0,=G290-F290,=H290-F290,
