Frequency,Raw Reading,Atten 10dB Factor,Cable 276 PLCE - 3m Factor,LISN 303 - L2 Factor,Level,FCC Part 15 Class A - Quasi-Peak Limit,FCC Part 15 Class A - Average Limit,FCC Part 15 Class A - Quasi-Peak Margin,FCC Part 15 Class A - Average Margin,Comments
3.118,27.0,10.0,.1,.0,=SUM(B2:E2),73.0,60.0,=G2-F2,=H2-F2,
3.291,26.6,10.0,.1,.0,=SUM(B3:E3),73.0,60.0,=G3-F3,=H3-F3,
3.404,26.3,10.0,.1,.0,=SUM(B4:E4),73.0,60.0,=G4-F4,=H4-F4,
3.626,27.1,10.0,.1,.0,=SUM(B5:E5),73.0,60.0,=G5-F5,=H5-F5,
3.683,27.5,10.0,.1,.0,=SUM(B6:E6),73.0,60.0,=G6-F6,=H6-F6,
3.836,27.2,10.0,.1,.0,=SUM(B7:E7),73.0,60.0,=G7-F7,=H7-F7,
3.875,25.6,10.0,.1,.0,=SUM(B8:E8),73.0,60.0,=G8-F8,=H8-F8,
3.905,26.8,10.0,.1,.0,=SUM(B9:E9),73.0,60.0,=G9-F9,=H9-F9,
3.939,25.6,10.0,.1,.0,=SUM(B10:E10),73.0,60.0,=G10-F10,=H10-F10,
4.268,23.0,10.0,.1,.0,=SUM(B11:E11),73.0,60.0,=G11-F11,=H11-F11,
4.603,24.0,10.0,.1,.0,=SUM(B12:E12),73.0,60.0,=G12-F12,=H12-F12,
4.653,25.9,10.0,.1,.0,=SUM(B13:E13),73.0,60.0,=G13-F13,=H13-F13,
4.676,27.2,10.0,.1,.0,=SUM(B14:E14),73.0,60.0,=G14-F14,=H14-F14,
4.723,26.2,10.0,.1,.0,=SUM(B15:E15),73.0,60.0,=G15-F15,=H15-F15,
4.759,25.5,10.0,.1,.0,=SUM(B16:E16),73.0,60.0,=G16-F16,=H16-F16,
4.806,26.7,10.0,.1,.0,=SUM(B17:E17),73.0,60.0,=G17-F17,=H17-F17,
5.165,23.0,10.0,.1,.0,=SUM(B18:E18),73.0,60.0,=G18-F18,=H18-F18,
5.245,24.7,10.0,.1,.0,=SUM(B19:E19),73.0,60.0,=G19-F19,=H19-F19,
5.318,24.2,10.0,.1,.0,=SUM(B20:E20),73.0,60.0,=G20-F20,=H20-F20,
5.421,24.7,10.0,.1,.0,=SUM(B21:E21),73.0,60.0,=G21-F21,=H21-F21,
5.557,22.9,10.0,.1,.0,=SUM(B22:E22),73.0,60.0,=G22-F22,=H22-F22,
5.574,24.1,10.0,.1,.0,=SUM(B23:E23),73.0,60.0,=G23-F23,=H23-F23,
5.604,23.8,10.0,.1,.0,=SUM(B24:E24),73.0,60.0,=G24-F24,=H24-F24,
5.677,24.9,10.0,.1,.0,=SUM(B25:E25),73.0,60.0,=G25-F25,=H25-F25,
5.713,23.1,10.0,.1,.0,=SUM(B26:E26),73.0,60.0,=G26-F26,=H26-F26,
5.889,21.9,10.0,.1,.0,=SUM(B27:E27),73.0,60.0,=G27-F27,=H27-F27,
5.979,26.3,10.0,.1,.0,=SUM(B28:E28),73.0,60.0,=G28-F28,=H28-F28,
6.002,24.1,10.0,.1,.0,=SUM(B29:E29),73.0,60.0,=G29-F29,=H29-F29,
6.069,23.1,10.0,.1,.0,=SUM(B30:E30),73.0,60.0,=G30-F30,=H30-F30,
6.391,24.3,10.0,.1,.0,=SUM(B31:E31),73.0,60.0,=G31-F31,=H31-F31,
6.434,23.4,10.0,.1,.0,=SUM(B32:E32),73.0,60.0,=G32-F32,=H32-F32,
6.647,23.5,10.0,.1,.1,=SUM(B33:E33),73.0,60.0,=G33-F33,=H33-F33,
6.880,21.9,10.0,.1,.1,=SUM(B34:E34),73.0,60.0,=G34-F34,=H34-F34,
6.969,21.9,10.0,.1,.1,=SUM(B35:E35),73.0,60.0,=G35-F35,=H35-F35,
7.016,21.8,10.0,.1,.1,=SUM(B36:E36),73.0,60.0,=G36-F36,=H36-F36,
7.375,22.7,10.0,.1,.1,=SUM(B37:E37),73.0,60.0,=G37-F37,=H37-F37,
7.428,21.8,10.0,.1,.1,=SUM(B38:E38),73.0,60.0,=G38-F38,=H38-F38,
7.498,21.2,10.0,.1,.1,=SUM(B39:E39),73.0,60.0,=G39-F39,=H39-F39,
7.591,23.1,10.0,.1,.1,=SUM(B40:E40),73.0,60.0,=G40-F40,=H40-F40,
7.787,22.1,10.0,.1,.1,=SUM(B41:E41),73.0,60.0,=G41-F41,=H41-F41,
7.824,21.4,10.0,.1,.1,=SUM(B42:E42),73.0,60.0,=G42-F42,=H42-F42,
7.900,22.1,10.0,.1,.1,=SUM(B43:E43),73.0,60.0,=G43-F43,=H43-F43,
8.727,20.0,10.0,.1,.1,=SUM(B44:E44),73.0,60.0,=G44-F44,=H44-F44,
8.787,20.9,10.0,.1,.1,=SUM(B45:E45),73.0,60.0,=G45-F45,=H45-F45,
8.967,20.4,10.0,.1,.1,=SUM(B46:E46),73.0,60.0,=G46-F46,=H46-F46,
9.326,21.0,10.0,.1,.1,=SUM(B47:E47),73.0,60.0,=G47-F47,=H47-F47,
9.538,22.7,10.0,.1,.1,=SUM(B48:E48),73.0,60.0,=G48-F48,=H48-F48,
10.010,25.1,10.0,.1,.1,=SUM(B49:E49),73.0,60.0,=G49-F49,=H49-F49,
10.246,26.2,10.0,.1,.1,=SUM(B50:E50),73.0,60.0,=G50-F50,=H50-F50,
10.618,27.2,10.0,.1,.1,=SUM(B51:E51),73.0,60.0,=G51-F51,=H51-F51,
12.812,34.8,10.0,.1,.2,=SUM(B52:E52),73.0,60.0,=G52-F52,=H52-F52,
13.417,34.7,10.0,.1,.1,=SUM(B53:E53),73.0,60.0,=G53-F53,=H53-F53,
13.938,32.0,10.0,.1,.1,=SUM(B54:E54),73.0,60.0,=G54-F54,=H54-F54,
14.035,32.9,10.0,.1,.1,=SUM(B55:E55),73.0,60.0,=G55-F55,=H55-F55,
14.091,30.9,10.0,.1,.1,=SUM(B56:E56),73.0,60.0,=G56-F56,=H56-F56,
14.151,32.5,10.0,.1,.1,=SUM(B57:E57),73.0,60.0,=G57-F57,=H57-F57,
14.214,32.6,10.0,.1,.1,=SUM(B58:E58),73.0,60.0,=G58-F58,=H58-F58,
14.274,32.5,10.0,.1,.1,=SUM(B59:E59),73.0,60.0,=G59-F59,=H59-F59,
14.337,32.0,10.0,.1,.1,=SUM(B60:E60),73.0,60.0,=G60-F60,=H60-F60,
14.583,27.7,10.0,.1,.1,=SUM(B61:E61),73.0,60.0,=G61-F61,=H61-F61,
14.706,28.9,10.0,.1,.1,=SUM(B62:E62),73.0,60.0,=G62-F62,=H62-F62,
14.829,29.2,10.0,.1,.1,=SUM(B63:E63),73.0,60.0,=G63-F63,=H63-F63,
14.952,27.7,10.0,.1,.1,=SUM(B64:E64),73.0,60.0,=G64-F64,=H64-F64,
15.009,28.3,10.0,.1,.1,=SUM(B65:E65),73.0,60.0,=G65-F65,=H65-F65,
15.128,27.2,10.0,.1,.1,=SUM(B66:E66),73.0,60.0,=G66-F66,=H66-F66,
15.251,31.5,10.0,.1,.1,=SUM(B67:E67),73.0,60.0,=G67-F67,=H67-F67,
15.368,28.8,10.0,.1,.1,=SUM(B68:E68),73.0,60.0,=G68-F68,=H68-F68,
15.404,29.2,10.0,.1,.1,=SUM(B69:E69),73.0,60.0,=G69-F69,=H69-F69,
15.434,30.7,10.0,.1,.1,=SUM(B70:E70),73.0,60.0,=G70-F70,=H70-F70,
15.554,29.8,10.0,.1,.1,=SUM(B71:E71),73.0,60.0,=G71-F71,=H71-F71,
15.620,31.3,10.0,.1,.1,=SUM(B72:E72),73.0,60.0,=G72-F72,=H72-F72,
15.677,25.8,10.0,.1,.1,=SUM(B73:E73),73.0,60.0,=G73-F73,=H73-F73,
15.866,26.9,10.0,.1,.1,=SUM(B74:E74),73.0,60.0,=G74-F74,=H74-F74,
15.926,28.6,10.0,.1,.1,=SUM(B75:E75),73.0,60.0,=G75-F75,=H75-F75,
16.002,31.9,10.0,.1,.1,=SUM(B76:E76),73.0,60.0,=G76-F76,=H76-F76,
16.049,27.0,10.0,.1,.1,=SUM(B77:E77),73.0,60.0,=G77-F77,=H77-F77,
16.168,34.5,10.0,.1,.1,=SUM(B78:E78),73.0,60.0,=G78-F78,=H78-F78,
16.232,35.5,10.0,.1,.1,=SUM(B79:E79),73.0,60.0,=G79-F79,=H79-F79,
16.355,27.9,10.0,.1,.1,=SUM(B80:E80),73.0,60.0,=G80-F80,=H80-F80,
16.414,28.9,10.0,.1,.1,=SUM(B81:E81),73.0,60.0,=G81-F81,=H81-F81,
16.477,30.7,10.0,.1,.1,=SUM(B82:E82),73.0,60.0,=G82-F82,=H82-F82,
16.537,28.3,10.0,.1,.1,=SUM(B83:E83),73.0,60.0,=G83-F83,=H83-F83,
16.600,28.4,10.0,.1,.1,=SUM(B84:E84),73.0,60.0,=G84-F84,=H84-F84,
16.660,29.4,10.0,.1,.1,=SUM(B85:E85),73.0,60.0,=G85-F85,=H85-F85,
16.694,26.3,10.0,.1,.1,=SUM(B86:E86),73.0,60.0,=G86-F86,=H86-F86,
16.747,27.9,10.0,.1,.1,=SUM(B87:E87),73.0,60.0,=G87-F87,=H87-F87,
16.777,30.0,10.0,.1,.1,=SUM(B88:E88),73.0,60.0,=G88-F88,=H88-F88,
16.836,32.1,10.0,.1,.1,=SUM(B89:E89),73.0,60.0,=G89-F89,=H89-F89,
16.900,31.5,10.0,.1,.1,=SUM(B90:E90),73.0,60.0,=G90-F90,=H90-F90,
16.959,30.6,10.0,.1,.1,=SUM(B91:E91),73.0,60.0,=G91-F91,=H91-F91,
17.086,31.8,10.0,.1,.1,=SUM(B92:E92),73.0,60.0,=G92-F92,=H92-F92,
17.142,28.9,10.0,.1,.1,=SUM(B93:E93),73.0,60.0,=G93-F93,=H93-F93,
17.199,27.9,10.0,.1,.1,=SUM(B94:E94),73.0,60.0,=G94-F94,=H94-F94,
17.268,24.7,10.0,.1,.1,=SUM(B95:E95),73.0,60.0,=G95-F95,=H95-F95,
17.328,29.1,10.0,.1,.1,=SUM(B96:E96),73.0,60.0,=G96-F96,=H96-F96,
17.388,31.3,10.0,.1,.1,=SUM(B97:E97),73.0,60.0,=G97-F97,=H97-F97,
17.451,26.8,10.0,.1,.1,=SUM(B98:E98),73.0,60.0,=G98-F98,=H98-F98,
17.511,28.3,10.0,.1,.1,=SUM(B99:E99),73.0,60.0,=G99-F99,=H99-F99,
17.574,32.5,10.0,.1,.1,=SUM(B100:E100),73.0,60.0,=G100-F100,=H100-F100,
17.607,26.7,10.0,.1,.1,=SUM(B101:E101),73.0,60.0,=G101-F101,=H101-F101,
17.674,27.6,10.0,.1,.1,=SUM(B102:E102),73.0,60.0,=G102-F102,=H102-F102,
17.697,37.8,10.0,.1,.1,=SUM(B103:E103),73.0,60.0,=G103-F103,=H103-F103,
17.910,25.6,10.0,.1,.1,=SUM(B104:E104),73.0,60.0,=G104-F104,=H104-F104,
17.940,33.9,10.0,.1,.1,=SUM(B105:E105),73.0,60.0,=G105-F105,=H105-F105,
18.006,27.7,10.0,.1,.1,=SUM(B106:E106),73.0,60.0,=G106-F106,=H106-F106,
18.056,29.8,10.0,.1,.1,=SUM(B107:E107),73.0,60.0,=G107-F107,=H107-F107,
18.126,31.1,10.0,.1,.1,=SUM(B108:E108),73.0,60.0,=G108-F108,=H108-F108,
18.186,32.2,10.0,.1,.1,=SUM(B109:E109),73.0,60.0,=G109-F109,=H109-F109,
